"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"4668","ZOTU-V9_31127","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Unassigned","Unassigned","Unassigned","heterotrophs"
"4669","ZOTU-V9_31136","Eukaryota","TSAR","Alveolata","Ciliophora","Ciliophora_X","Ciliophora_XX","Ciliophora_XXX","Mesodinium","Mesodinium_sp.","heterotrophs"
"4670","ZOTU-V9_31145","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Unassigned","Unassigned","heterotrophs"
"4671","ZOTU-V9_3115","Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Unassigned","Unassigned","phototrophs"
"4672","ZOTU-V9_31150","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"4673","ZOTU-V9_31151","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"4674","ZOTU-V9_31157","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporales","Phytophthora","Phytophthora_infestans","parasites"
"4675","ZOTU-V9_3116","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4676","ZOTU-V9_31165","Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4677","ZOTU-V9_31170","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Granofilosea","Limnofilida","Limnofilidae","Limnofila","Limnofila_anglica",NA
"4678","ZOTU-V9_31178","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Trebouxiophyceae","Chlorellales","Chlorellales_X","Chlorella","Chlorella_sp.","phototrophs"
"4679","ZOTU-V9_31187","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp.","saprotrophs/parasites"
"4680","ZOTU-V9_31188","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Vampyrellidae","Vampyrella","Vampyrella_sp.","heterotrophs"
"4681","ZOTU-V9_31206","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Imbricatea","Euglyphida","Unassigned","Unassigned","Unassigned","heterotrophs"
"4682","ZOTU-V9_31208","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp.","saprotrophs/parasites"
"4683","ZOTU-V9_31215","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4684","ZOTU-V9_3122","Eukaryota","TSAR","Alveolata","Ciliophora","CONThreeP","CONThreeP_X","CONThreeP_XX","Askenasia","Askenasia_sp.","heterotrophs"
